Sample	PC1	PC2	PC3	Coverage	Age	Latitude	Longitude	Sex	Site	Species
Shid1_Kaz_m10458	-0.0575904	0.0293892	0.00637588	1.664152169	10508	51.64	74.65	male	site103	horse
Sho1x2_Rus_m7500	-0.0249755	-0.00319742	0.0108458	1.160763406	7550	55.88	47.49	male	site104	horse
Spain38_Spa_m2040	-0.100629	-0.147208	-0.0479726	0.599354927	2090	39.02	-2.03	female	site105	horse
Spain39_Spa_m1968	-0.128085	-0.182103	-0.0604009	2.593525279	2018	39.02	-2.03	male	site105	horse
SRxNHMx005_Aus_m585	0.0523997	-0.00708578	0.0096006	1.768615368	635	48.45	16.6	female	site106	horse
SV2019x18_Tun_m581	0.0509733	-0.00810094	0.00868857	1.313690179	631	35.87	8.79	male	site107	horse
SV2019x19_Tun_m643	0.0515581	-0.00740125	0.00844437	0.934541258	693	35.87	8.79	male	site107	horse
SV2019x22_Tun_m660	0.0505453	-0.00698496	0.00895909	0.580627244	710	35.87	8.79	male	site107	horse
Swis_RAO310_0	0.0584641	-0.00487368	0.0108547		0	0	0	unknown	unknown	horse
Tarpan_1_02430	0.0195195	-0.0368741	-0.00351068	2.230388828	202	49.29	31.04	male	site108	horse
Tarquinia3298_Ita_m657	0.0512663	-0.00794026	0.00959146	4.885452951	707	42.25	11.76	male	site109	horse
TP4_Geo_m1578	0.0547421	-0.00421564	0.0109513	8.262088051	1628	41.47	46.02	male	site110	horse
UE10287_Fra_m617	0.0509687	-0.00821256	0.00848215	10.89485103	667	43.37	3.42	male	site111	horse
UE11080x11082_Spa_m664	0.0478903	-0.0100308	0.00772628	2.897151706	714	41.57	0.95	female	site112	horse
UE13045_Spa_m738	0.0504579	-0.00710467	0.00970831	0.140475438	788	41.57	0.95	male	site112	horse
UE172_Spa_m317	0.0508644	-0.00758459	0.00896707	2.964003049	367	41.71	1.54	female	site113	horse
UE2275x2_Spa_m2758	-0.115991	-0.170638	-0.0561447	3.724436034	2808	41.55	1.04	female	site114	horse
UE4618_Spa_m655	0.0529497	-0.0090586	0.00987408	4.340154675	705	41.57	0.95	female	site112	horse
Ukr11_Ukr_m4185	0.0166165	-0.0126781	0.00392428	0.202775811	4235	46.87	35.43	female	site115	horse
Ural2017x1_Rus_m1868	0.0535124	-0.00484472	0.0103997	3.320445718	1918	52.65	59.57	male	site116	horse
Ural2017x20_Rus_m1356	0.0463171	-0.00757252	0.00816851	2.59871411	1406	51.57	45.78	male	site117	horse
Ural2017x21_Rus_m1377	0.0491233	-0.00659776	0.00789923	2.535750337	1427	51.57	45.78	male	site117	horse
Ural2017x22_Rus_m1377	0.0497935	-0.00593502	0.00863535	1.276653862	1427	51.57	45.78	male	site117	horse
Ural2017x25_Rus_m1460	0.0500701	-0.0070804	0.00885891	1.91801461	1510	51.57	45.78	male	site117	horse
Ural2017x26_Rus_m2751	0.0260947	-0.00483469	0.00291884	1.232740847	2801	51.57	45.78	female	site117	horse
Ural2017x29_Rus_m1853	0.0502255	-0.0048689	0.00930737	1.690609389	1903	52.83	60.37	female	site118	horse
Ural2017x30_Rus_m1863	0.0525575	-0.00515809	0.0098183	2.254559646	1913	52.83	60.37	female	site118	horse
Ural2017x31_Rus_m1845	0.0490598	-0.00401961	0.00812689	1.210715109	1895	52.83	60.37	male	site118	horse
Ural2017x33_Rus_m1854	0.0517657	-0.00613355	0.00957765	3.019117091	1904	52.83	60.37	female	site118	horse
Ural2017x34_Rus_m1861	0.0512878	-0.00524499	0.0101941	0.763117192	1911	52.83	60.37	female	site118	horse
Ural2017x36_Rus_m1892	0.0503959	-0.00483559	0.00957873	2.446274875	1942	52.83	60.37	female	site118	horse
Ural2017x3_Rus_m1815	0.0501403	-0.00568277	0.00943053	2.432387197	1865	52.65	59.57	male	site116	horse
Ural2017x41_Rus_m1917	0.0530979	-0.00433851	0.0103437	3.155487243	1967	52.83	60.37	female	site118	horse
Ural2017x44_Rus_m1954	0.0505872	-0.00326887	0.00913901	2.131105803	2004	52.83	60.37	female	site118	horse
Ural2017x47_Rus_m1856	0.052089	-0.00376235	0.0106105	3.035255176	1906	52.83	60.37	female	site118	horse
Ural2017x4_Rus_m1820	0.0507861	-0.00348805	0.0102977	1.752919287	1870	52.65	59.57	male	site116	horse
Ural2017x5_m1951_	0.051005	-0.00600764	0.00944118	2.294897032	2001	52.65	59.57	male	site116	horse
Ural2017x67_Rus_m2774	-0.0428871	0.0540875	-0.0343743	2.128618094	2824	53.97	74.88	male	site119	horse
Ural2017x69_Rus_m2774	-0.0511652	0.0615734	-0.0389937	2.064170705	2824	53.97	74.88	female	site119	horse
Ural2017x70_Rus_m2753	-0.0447844	0.0581181	-0.0386676	1.42623962	2803	53.97	74.88	male	site119	horse
Ural2017x71_1_00460	-0.0491998	0.061452	-0.0387701	1.812535461	2840	53.97	74.88	female	site119	horse
Ural2017x80_Kaz_m3235	-0.0433341	0.0548606	-0.036344	2.506765906	3285	49.4	66.75	female	site44	horse
Ushx9_Rus_m775	0.0493438	-0.00415997	0.00753751	1.543334075	825	49.66	99.93	male	site120	horse
Var2_Rus_m5544	0.00128144	0.0107503	-0.00453184	2.204718423	5594	50.13	48.05	female	site121	horse
Var3_Rus_m5549	-0.000260627	0.014888	-0.0045886	3.453705313	5599	50.13	48.05	female	site121	horse
Vert311_Bel_m34314	-0.0450524	-0.032398	0.00467718	3.701766963	34364	50.45	5.01	female	site122	horse
Zam9_Por_m2559	-0.112809	-0.164277	-0.0539345	1.744907402	2609	39.07	-9.29	male	site123	horse
