Sample	PC1	PC2	PC3	Coverage	Age	Latitude	Longitude	Sex	Site	Species
Cho1x3_Rus_m625	0.053498	-0.00319503	0.0100554	2.963320299	675	51.17	86.11	male	site19	horse
Closeaux3_Fra_EAzi	-0.0442535	-0.0511601	-0.00547855	1.01	10450	48.87	2.16	male	site20	horse
DaAn01_Rus_m1883	0.0482466	-0.00398838	0.00940129	0.823320013	1933	53.66	50.67	female	site21	horse
Div9_Rus_m15059	-0.0272787	-0.0103899	0.0122445	0.48058526	15109	50.96	39.29	female	site22	horse
DJM130x6_Dan_m3011	-0.0612472	-0.118728	-0.0375441	1.226594286	3061	56.41	10.74	male	site23	horse
DJM613x1_Dan_m2994	-0.0640075	-0.12118	-0.0380168	0.506931744	3044	56.41	10.74	female	site23	horse
Duk2_Hun_m2059	-0.0284907	-0.0798164	-0.0189111	3.967341301	2109	46.96	18.94	male	site24	horse
EREsto2_Est_m661	0.0522896	-0.00702323	0.00956542	3.802188675	711	58.41	23.02	female	site25	horse
EREsto3_Est_m659	0.0546663	-0.00555915	0.0104754	4.553951587	709	58.41	23.02	male	site25	horse
EREsto8_Est_m654	0.0531679	-0.00633543	0.0103637	1.201407478	704	58.46	23.03	male	site26	horse
ERRus30x31_Rus_m3435	-0.139448	0.030426	0.263456	3.232416586	3485	72.69	142.82	female	site27	horse
Etiolles4_Fra_m13759	-0.0670563	-0.0737847	-0.00746883	5.238843164	13809	48.63	2.47	female	site28	horse
Etiolles6_Fra_m13608	-0.0628603	-0.0702764	-0.00707222	2.934759131	13658	48.63	2.47	female	site28	horse
Etiolles7_Fra_m13815	-0.0453143	-0.050437	-0.00473371	1.399978687	13865	48.63	2.47	female	site28	horse
Etiollesx8_Fra_m13705	-0.0480236	-0.0511078	-0.00394623	1.677915766	13743	48.63	2.47	male	site28	horse
Fen4_Chi_m800	0.052375	-0.00214264	0.00933455	5.335536505	850	36.84	101.96	male	site29	horse
Fetusx9m_Spa_m475	0.047643	-0.0114518	0.00776272	7.871673901	525	41.57	0.95	male	site30	horse
Ganx10_Mon_m775	0.0500086	-0.00464712	0.00735887	1.752191555	825	49.57	103.25	male	site31	horse
Ganx4_Mon_m775	0.0479366	-0.00497436	0.00764172	0.751107909	825	49.57	103.25	female	site31	horse
Gar3_Rom_m1539	0.0514071	-0.00573512	0.0102734	5.865066219	1589	44.87	22.01	male	site32	horse
Gral10_Fra_m18924	-0.0574292	-0.0636408	-0.00903612	1.613192591	18974	44.5	1.69	female	site33	horse
Gral13_Fra_m16500	-0.0686412	-0.0723767	-0.0098728	4.0200747	16550	44.5	1.69	female	site33	horse
Gral14_Fra_m21655	-0.054001	-0.0551525	-0.0043955	2.70464327	21705	44.5	1.69	male	site33	horse
Gral1_Fra_m16101	-0.0585716	-0.062157	-0.00737653	1.734814415	16151	44.5	1.69	male	site33	horse
Gral2_Fra_m18924	-0.0643686	-0.0736349	-0.0130691	2.299349226	18974	44.5	1.69	female	site33	horse
Gral3_Fra_m18924	-0.0607906	-0.065312	-0.00717477	1.328992084	18974	44.5	1.69	female	site33	horse
Gral4_Fra_m18924	-0.0607299	-0.0653507	-0.00719761	2.149154533	18974	44.5	1.69	female	site33	horse
Gral5_Fra_m18924	-0.0550719	-0.0630066	-0.00955974	1.389199408	18974	44.5	1.69	female	site33	horse
Gral6_Fra_m18924	-0.0623848	-0.0669429	-0.0077374	2.779703682	18974	44.5	1.69	male	site33	horse
Gral7_Fra_m19670	-0.0622566	-0.064827	-0.00732624	3.09072623	19720	44.5	1.69	male	site33	horse
Gral8_Fra_m18924	-0.0563358	-0.063305	-0.00959879	1.554892413	18974	44.5	1.69	female	site33	horse
Gral9_Fra_m18924	-0.0529633	-0.053563	-0.00399905	2.845198002	18974	44.5	1.69	male	site33	horse
GVA9010_Mon_m1057	0.0465918	-0.00506856	0.00655658	0.08064591	1107	47.75	101.37	male	site34	horse
GVA9035_Mon_m1024	0.0525974	-0.00463642	0.00898912	7.223586103	1074	47.75	101.37	female	site34	horse
GVA9036_Mon_m1013	0.0498989	-0.0032402	0.00720008	3.590513704	1063	47.75	101.37	male	site34	horse
GVA9037_Mon_m1013	0.0522258	-0.00433006	0.00890303	3.69929749	1063	47.75	101.37	female	site34	horse
GVA9042_Mon_m1068	0.0513438	-0.00307822	0.00844523	3.914298497	1118	49.83	89.99	male	site35	horse
Hafl_HF0003_0	0.0612259	-0.000970034	0.0128247		0	0	0	unknown	unknown	horse
Halvai2_Kaz_m1856	0.0489514	-0.00410545	0.00826393	2.128171887	1906	52.84	62.9	male	site36	horse
Halvai3_Kaz_m1856	0.0508066	-0.00548461	0.00925466	2.788947293	1906	52.84	62.9	female	site36	horse
Hantx9_Mon_m775	0.0490201	-0.00476812	0.00726493	1.900712567	825	49.56	103.24	female	site37	horse
Hasanlu1140_Ira_m663	0.0521167	-0.0054896	0.00834039	2.704797141	713	37	45.46	female	site38	horse
Hasanlu2327_Ira_m768	0.0491421	-0.00672108	0.00787972	0.982686704	818	37	45.46	male	site38	horse
Hasanlu2405_Ira_m868	0.0589057	-0.0033927	0.0113297	3.515030878	918	37	45.46	male	site38	horse
Hasanlu3394_Ira_m790	0.0538201	-0.00489447	0.00948515	4.117770978	840	37	45.46	male	site38	horse
Hasanlu3398_Ira_m768	0.0526439	-0.00507298	0.00934033	1.347387978	818	37	45.46	female	site38	horse
Hasanlu3461_Ira_m913	0.0551663	-0.0049223	0.0102898	7.198297654	963	37	45.46	female	site38	horse
Hasanlu368_Ira_m878	0.0561061	-0.00495071	0.0097153	2.881369896	928	37	45.46	male	site38	horse
HasanluV31E_Ira_m768	0.0544118	-0.00556208	0.0100104	2.619441083	818	37	45.46	male	site38	horse
Hohler1x1_1_02431	-0.0999177	-0.230685	-0.0986691	0.674376197	2729	50.06	11.1	female	site39	horse
Hohler1x2_1_02432	-0.100528	-0.23216	-0.0993137	0.98292212	2731	50.06	11.1	female	site39	horse
Hohler2_1_02433	-0.0990428	-0.228811	-0.0978539	1.036893554	2769	50.06	11.1	female	site39	horse
Hohler3x1_1_02434	-0.100577	-0.231696	-0.0990179	1.039393496	2726	50.06	11.1	female	site39	horse
Hohler3x2_1_02435	-0.0984764	-0.227381	-0.0969536	0.543634921	2731	50.06	11.1	female	site39	horse
Hohler3x3_1_02436	-0.101653	-0.234251	-0.0999365	1.984227902	2731	50.06	11.1	female	site39	horse
Holotype_Mon_1870	-0.0601728	0.096474	-0.0875623		0	0	0	unknown	unknown	horse
Icel_P5782_0	0.0590006	-0.00260919	0.0141695		0	0	0	unknown	unknown	horse
Kan22_Tur_m2386	0.000374401	-0.0400706	-0.00408547	3.152319761	2436	41.72	27.23	male	site40	horse
KB212_Rus_m29656	-0.0346589	-0.00732848	0.0166989	1.938013832	29706	51.38	39.07	male	site41	horse
KB217_Rus_PAL	-0.0517399	0.0014195	0.0442888	0.139849215	34248	62.08	58.08	female	site42	horse
KB218_Rus_m42475	-0.0469749	-0.00145313	0.0319009	0.96581769	42525	62.08	58.08	female	site42	horse
KB219_Rus_m24209	-0.0501083	0.000122878	0.0315028	2.221541679	24259	62.08	58.08	female	site42	horse
KB221_Rus_PAL	-0.0439016	-0.00300917	0.0335937	0.119272912	34248	62.08	58.08	male	site42	horse
Kent1_Kaz_m1466	0.0521468	-0.00762802	0.00958808	2.700496624	1516	49.2	75.94	female	site43	horse
Kent2_Kaz_m1474	0.0497256	-0.00608579	0.0089087	2.101300248	1524	49.2	75.94	male	site43	horse
Kent5_Kaz_m1494	0.0528898	-0.00471836	0.00957151	1.842497766	1544	49.2	75.94	male	site43	horse
Kent6_Kaz_m1463	0.0519813	-0.00544764	0.00995862	2.456727144	1513	49.2	75.94	female	site43	horse
Kent7_Kaz_m1476	0.0498185	-0.00701282	0.00859778	2.042630902	1526	49.2	75.94	male	site43	horse
Kozhai_Kaz_m3342	-0.0388359	0.0496145	-0.0325503	1.259610271	3392	49.4	66.75	male	site44	horse
KSH4_Kaz_m1955	0.0489385	-0.0053974	0.00772108	2.18206957	2005	52.84	62.9	female	site36	horse
KSH5_Kaz_m1895	0.0523951	-0.00474771	0.00978767	7.729618362	1945	52.84	62.9	male	site36	horse
KSK16232_Tur_m6319	0.0195878	-0.00521697	-0.0228562	6.086954641	6369	37.85	34.61	male	site45	horse
Kuymx2_Rus_m580	0.0526187	-0.00297626	0.00980246	8.687734358	630	51.5	85.97	male	site46	horse
KUZx3_Rus_EBA.	0.0494854	-0.00563467	0.0077763		0	0	0	unknown	unknown	horse
KY001_Kaz_m3244	-0.0487984	0.0613732	-0.0401558	3.051570892	3294	53.33	69.26	female	site47	horse
KZ2019x1a_Kaz_m293	0.0521714	-0.0033513	0.00877696	3.162862793	343	47.24	84.54	male	site48	horse
Logx1_Rus_m49900i	-0.0456075	0.0044783	0.0139922	0.970949825	49950	51.17	82.97	male	site49	horse
Logx3_Rus_m52200i	-0.0460284	0.00355002	0.0154114	1.089918909	52250	51.17	82.97	female	site49	horse
LORUS2018x09_Rus_m3131	0.0297722	-0.00434416	0.00438197	3.892831208	3139	49.22	43.9	male	site50	horse
LORUS2018x12_Rus_m2995	0.025924	-7.44E-05	0.00271061	2.141114184	3045	49.22	43.9	male	site50	horse
LORUS2018x15_Rus_m2763	0.0166458	0.0167766	-0.00514053	4.966522992	2813	52.8	53.79	female	site51	horse
LORUS2018x16_Rus_m2786	0.0123712	0.0105297	-0.0037195	2.137332743	2836	52.8	53.79	male	site51	horse
LORUS2018x19_Rus_m5391	-0.0057074	0.0189852	-0.00694605	0.802263315	5441	52.8	53.79	female	site51	horse
LORUS2018x23_Rus_m1796	0.0502059	-0.00664325	0.00945654	4.678390687	1846	53.45	48.94	female	site52	horse
